EarName,Year,CrossType,EarFamily,EarSubFamily,EarPlantNumber,EarAllele,PollenFamily,PollenSubFamily,PollenPlantNumber,PollenPollinationNumber,PollenAllele,TrainingSet,PredictedFluor,PredictedNonFluor,PredictedTotal,PredictedTransmission,AmbiguousKernels,AmbiguousKernelPercentage,AverageEarScoreFluor,AverageEarScoreNonFluor,AverageEarScoreAll,ActualFluor,ActualNonFluor,ActualAmbiguous,ActualTotal,ActualTransmission,FluorKernelDiff,FluorKernelABSDiff,NonFluorKernelDiff,NonFluorKernelABSDiff,TotalKernelDiff,TotalKernelABSDiff,TransmissionDiff,TranmissionABSDiff,PredtoActTransmissionRatio,FluorPerDiff,NonFluorPerDiff,TotalPerDiff
Y1x233A-2,2019,Other,1,,-1,FALSE,233,A,2,,R83B01 R82C05,,151,145,296,51.01351351,4,1.333,0.977,0.964,0.971,,,,,,,,,,,,,,,,,
Y1x233A-3,2019,Other,1,,-1,FALSE,233,A,3,,R83B01 R82C05,,157,170,327,48.01223242,0,0,0.991,0.99,0.99,,,,,,,,,,,,,,,,,
Y1x233A-5,2019,Other,1,,-1,FALSE,233,A,5,,R83B01 R82C05,,161,174,335,48.05970149,0,0,0.993,0.994,0.994,,,,,,,,,,,,,,,,,
Y1x233A-6,2019,Other,1,,-1,FALSE,233,A,6,,R83B01 R82C05,TRUE,204,188,392,52.04081633,0,0,0.99,0.992,0.991,,,,,,,,,,,,,,,,,
Y1x233A-8,2019,Other,1,,-1,FALSE,233,A,8,,R83B01 R82C05,,139,192,331,41.9939577,2,0.601,0.967,0.975,0.972,,,,,,,,,,,,,,,,,
Y1x233B-2,2019,Other,1,,-1,FALSE,233,B,2,,R83B01 R82C05,,21,216,237,8.860759494,9,3.659,0.822,0.957,0.941,,,,,,,,,,,,,,,,,
Y1x235A-3,2019,Other,1,,-1,FALSE,235,A,3,,R71A11 R84A12,,32,95,127,25.19685039,3,2.308,0.84,0.95,0.921,,,,,,,,,,,,,,,,,
Y1x235A-4,2019,Other,1,,-1,FALSE,235,A,4,,R71A11 R84A12,,47,100,147,31.97278912,7,4.545,0.758,0.936,0.877,,,,,,,,,,,,,,,,,
Y1x235A-6,2019,Other,1,,-1,FALSE,235,A,6,,R71A11 R84A12,,73,122,195,37.43589744,10,4.878,0.885,0.917,0.905,,,,,,,,,,,,,,,,,
Y1x235B-4,2019,Other,1,,-1,FALSE,235,B,4,,R71A11 R84A12,,48,95,143,33.56643357,4,2.721,0.909,0.957,0.941,,,,,,,,,,,,,,,,,
Y1x235B-5,2019,Other,1,,-1,FALSE,235,B,5,,R71A11 R84A12,,7,211,218,3.211009174,6,2.679,0.572,0.952,0.93,,,,,,,,,,,,,,,,,
Y1x236A-1,2019,Other,1,,-1,FALSE,236,A,1,,R71A11 R82C05,,51,236,287,17.77003484,1,0.347,0.982,0.984,0.984,,,,,,,,,,,,,,,,,
Y1x236A-2,2019,Other,1,,-1,FALSE,236,A,2,,R71A11 R82C05,,36,164,200,18,10,4.762,0.877,0.939,0.926,,,,,,,,,,,,,,,,,
Y1x236A-3,2019,Other,1,,-1,FALSE,236,A,3,,R71A11 R82C05,,27,115,142,19.01408451,17,10.692,0.794,0.911,0.882,,,,,,,,,,,,,,,,,
Y1x236A-5,2019,Other,1,,-1,FALSE,236,A,5,,R71A11 R82C05,,21,171,192,10.9375,3,1.538,0.933,0.957,0.954,,,,,,,,,,,,,,,,,
Y1x236B-2,2019,Other,1,,-1,FALSE,236,B,2,,R71A11 R82C05,,36,242,278,12.94964029,7,2.456,0.837,0.943,0.927,,,,,,,,,,,,,,,,,
Y1x236B-3,2019,Other,1,,-1,FALSE,236,B,3,,R71A11 R82C05,,50,295,345,14.49275362,12,3.361,0.88,0.963,0.949,,,,,,,,,,,,,,,,,
Y1x236B-4,2019,Other,1,,-1,FALSE,236,B,4,,R71A11 R82C05,,21,332,353,5.949008499,38,9.719,0.645,0.92,0.882,,,,,,,,,,,,,,,,,
Y1x237A-1,2019,Other,1,,-1,FALSE,237,A,1,,R84A12 R82C05,,79,158,237,33.33333333,1,0.42,0.96,0.96,0.96,,,,,,,,,,,,,,,,,
Y1x237A-3,2019,Other,1,,-1,FALSE,237,A,3,,R84A12 R82C05,,93,174,267,34.83146067,1,0.373,0.973,0.971,0.972,,,,,,,,,,,,,,,,,
Y1x237A-5,2019,Other,1,,-1,FALSE,237,A,5,,R84A12 R82C05,,44,73,117,37.60683761,2,1.681,0.882,0.919,0.905,,,,,,,,,,,,,,,,,
